"","dataset","mode","intervention","epoch","loss","accuracy","precision","recall","val_loss","val_accuracy","val_precision","val_recall","f1","val_f1","logodds","val_logodds","start","end","duration","emissions","emissions_rate","cpu_power","gpu_power","ram_power","cpu_energy","gpu_energy","ram_energy","energy_consumed","utilization_gpu","utilization_memory","memory_total","memory_used","power_draw","temperature_gpu","energy_nvidia","val_logodds_centered","logodds_centered","energy_centered","energy_nvidia_centered","duration_centered","energy_centered_cumulative","duration_centered_cumulative","energy_nvidia_centered_cumulative","energy_nvidia_cumulative","energy_cumulative","duration_cumulative","score"
"2514","oxford_flowers102","quant",0,14,0.892578125,0.7265625,0.869140625,0.61083984375,3.7421875,0.254150390625,0.370361328125,0.1812744140625,0.717449635021445,0.243410742317161,0.977251431663842,-1.07659780299073,2023-01-10 23:06:00.379957,2023-01-10 23:06:02,1.62004256248474,2.58513366911636e-05,0.0159571959958349,60,245.134,1.5,2.69973278045654e-05,0.0001085195689629,5.42770028114319e-07,0.0001360596667955,27,13.5,24268,23559,173.655,52,7.81468031078577e-05,-1.63540917031146,-1.2530177293041,0.00135239707194194,0.000769839705366431,20.4217854857445,0.0204177213970439,306.878522562981,0.0114190391875809,0.00173533855596089,0.0033889977249937,43.6541216373444,146.455796623658
"2515","oxford_flowers102","quant",0,15,0.82470703125,0.7744140625,0.8798828125,0.64501953125,3.7578125,0.271240234375,0.3828125,0.19775390625,0.744364518291707,0.260789003364172,1.23340551111305,-0.988339236187072,2023-01-10 23:06:03.399933,2023-01-10 23:06:05,1.60006737709045,2.5967397925504e-05,0.0162289402917037,60,248.618,1.5,2.66644318898519e-05,0.0001094699403238,5.36143183708191e-07,0.0001366705153973,30.5,16,24268,23559,188.595,51,8.38235297173262e-05,-1.54715060350781,-0.99686364985489,0.00135300792054374,0.000775516431975899,20.4018103003502,0.0217707293175877,327.280332863331,0.0121945556195568,0.00181916208567821,0.003525668240391,45.2541890144348,149.101741131482
"2516","oxford_flowers102","quant",0,16,0.72119140625,0.7861328125,0.8818359375,0.66650390625,3.689453125,0.284912109375,0.396240234375,0.2130126953125,0.759196502483444,0.277074417545332,1.30177054760206,-0.920224714541177,2023-01-10 23:06:05.399483,2023-01-10 23:06:07,1.60051679611206,2.57866761204322e-05,0.0161114686100593,60,246.616,1.5,2.66718586285909e-05,0.0001085130728371,5.34416536490122e-07,0.0001357193480022,9.5,6,24268,23559,152.775,50,6.79219315350056e-05,-1.47903608186191,-0.928498613365882,0.00135205675314864,0.000759614833793578,20.4022597193718,0.0231227860707363,347.682592582703,0.0129541704533504,0.00188708401721322,0.0036613875883932,46.8547058105469,150.980087148292
"2517","oxford_flowers102","quant",0,17,0.66162109375,0.798828125,0.89599609375,0.69140625,3.978515625,0.257568359375,0.366943359375,0.2022705078125,0.780517052445401,0.260787109793856,1.37898616781317,-1.0586456417672,2023-01-10 23:06:08.357252,2023-01-10 23:06:10,1.64274787902832,2.63855185786883e-05,0.0160618186853452,60,245.5,1.5,2.73737748463949e-05,0.0001109457338849,5.51641682783763e-07,0.0001388711504141,12.5,4.5,24268,23559,154.055,50.5,7.029820125103e-05,-1.61745700908793,-0.851282993154778,0.00135520855556054,0.000761991103509603,20.4444908022881,0.0244779946262968,368.127083384991,0.01371616155686,0.00195738221846425,0.0038002587388073,48.4974536895752,131.588177794466
"2518","oxford_flowers102","quant",0,18,0.57275390625,0.83447265625,0.90771484375,0.7314453125,4.06640625,0.26123046875,0.353271484375,0.2071533203125,0.810102374702115,0.261163889777554,1.61766357573514,-1.03958296689235,2023-01-10 23:06:11.410614,2023-01-10 23:06:13,1.58938574790955,2.58777792335961e-05,0.0162816228015332,60,249.866,1.5,2.64863729476929e-05,0.0001091798409983,5.32624125480652e-07,0.0001361988380715,22.5,10,24268,23559,164.03,52,7.24185956193341e-05,-1.59839433421308,-0.612605585232804,0.00135253624321794,0.000764111497877907,20.3911286711693,0.0258305308695148,388.51821205616,0.0144802730547379,0.00202980081408358,0.0039364575768788,50.0868394374847,128.697587929553
"2519","oxford_flowers102","quant",0,19,0.5263671875,0.84814453125,0.90576171875,0.7626953125,4.04296875,0.276123046875,0.357666015625,0.2232666015625,0.828094705699444,0.274919580827117,1.72012185406187,-0.963774835315705,2023-01-10 23:06:14.365503,2023-01-10 23:06:16,1.63449692726135,2.65940321299871e-05,0.0162704693330602,60,249.522,1.5,2.72382100423177e-05,0.0001121814443842,5.48935731252035e-07,0.0001399685901578,26,13,24268,23559,171.2,52,7.77294094297621e-05,-1.52258620263644,-0.510147306906073,0.00135630599530424,0.000769422311688335,20.4362398505211,0.027186836864819,408.954451906681,0.0152496953664262,0.00210753022351334,0.0040764261670366,51.7213363647461,131.01736041284
"2520","oxford_flowers102","quant",0,20,0.483642578125,0.85302734375,0.90625,0.7880859375,4.26171875,0.252197265625,0.32470703125,0.2001953125,0.843047550432277,0.247683502906977,1.75854504538518,-1.08692763771314,2023-01-10 23:06:17.361645,2023-01-10 23:06:19,1.63835525512695,2.60864559755458e-05,0.0159223440056194,60,242.86,1.5,2.73025194803874e-05,0.0001094491509887,5.45466244220734e-07,0.0001372971367133,35.5,19,24268,23559,185.795,52.5,8.45550596184201e-05,-1.64573900503387,-0.471724115582763,0.00135363454185974,0.000776247961876993,20.4400981783867,0.0285404714066788,429.394550085068,0.0160259433283032,0.00219208528313176,0.0042137233037499,53.359691619873,115.049020932568
"2521","oxford_flowers102","quant",0,21,0.450927734375,0.85986328125,0.91650390625,0.794921875,4.203125,0.257568359375,0.33642578125,0.2135009765625,0.851394213623395,0.261224724264706,1.81415489273658,-1.0586456417672,2023-01-10 23:06:20.394887,2023-01-10 23:06:22,1.60511255264282,2.63648722918179e-05,0.0164255598452632,60,252.586,1.5,2.6748243967692e-05,0.0001114837014316,5.30540347099304e-07,0.0001387624857464,14,8,24268,23559,186.555,51,8.31782700717449e-05,-1.61745700908793,-0.416114268231359,0.00135509989089284,0.000774871172330318,20.4068554759026,0.0298955712975716,449.80140556097,0.0168008145006335,0.00227526355320351,0.0043524857894963,54.9648041725159,113.203746885652
"2522","oxford_flowers102","quant",0,22,0.447998046875,0.86376953125,0.92041015625,0.81591796875,4.08984375,0.274658203125,0.36767578125,0.2235107421875,0.865019893753515,0.27801542658218,1.84695791233842,-0.971115560824087,2023-01-10 23:06:22.404871,2023-01-10 23:06:24,1.5951292514801,2.53834844082991e-05,0.0159131207610581,60,242.97,1.5,2.65820423762004e-05,0.0001064822232882,5.33020695050558e-07,0.0001335972863594,15.5,6,24268,23559,154.75,51.5,6.85684032407072e-05,-1.52992692814482,-0.383311248629525,0.00134993469150584,0.00076026130549928,20.3968721747398,0.0312455059890775,470.19827773571,0.0175610758061328,0.00234383195644422,0.0044860830758557,56.559933423996,117.183402321077
"2523","oxford_flowers102","quant",0,23,0.36279296875,0.88818359375,0.93505859375,0.83544921875,4.19921875,0.271484375,0.34375,0.228759765625,0.882451877499311,0.274706823027719,2.07232017496388,-0.987104486513124,2023-01-10 23:06:25.413826,2023-01-10 23:06:27,1.58617424964905,2.58715638385077e-05,0.0163106694262827,60,250.281,1.5,2.64328360557556e-05,0.0001092050856643,5.28203745683034e-07,0.0001361661254658,25.5,11.5,24268,23559,162.3,52,7.15100224216779e-05,-1.54591585383386,-0.157948986004061,0.00135250353061224,0.000763202924680251,20.3879171729088,0.0325980095196897,490.586194908619,0.0183242787308131,0.00241534197886589,0.0046222492013215,58.146107673645,112.399973740975
